Date : 2023-03-14 18:45:56
Directory : c:\Users\justi\Desktop\toyo\toyo
Total : 142 files,  13898 codes, 36 comments, 909 blanks, all 14843 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\input\RadioInput.svelte                 | Svelte             |         54 |          0 |          9 |         63 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\input\SelectInput.svelte                | Svelte             |         39 |          0 |          8 |         47 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\input\SelectInputWithLabel.svelte       | Svelte             |         61 |          0 |          8 |         69 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\input\TextInput.svelte                  | Svelte             |         76 |          0 |          8 |         84 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\subforms\AgreeSubform.svelte            | Svelte             |         87 |          0 |         17 |        104 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\subforms\AgreeSubformData.ts            | TypeScript         |         57 |          0 |          9 |         66 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\subforms\PersonalSubform.svelte         | Svelte             |        234 |          0 |         13 |        247 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\subforms\PersonalSubformData.ts         | TypeScript         |        357 |          6 |         59 |        422 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\subforms\ScheduleSubform.svelte         | Svelte             |        319 |          0 |         34 |        353 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\subforms\ScheduleSubformData.ts         | TypeScript         |        180 |          1 |         15 |        196 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\subforms\SchoolSubform.svelte           | Svelte             |        191 |          0 |         26 |        217 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\subforms\SchoolSubformData.ts           | TypeScript         |         78 |          3 |         16 |         97 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\text\FormSectionDescription.svelte      | Svelte             |          5 |          0 |          2 |          7 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\forms\text\FormSectionHeading.svelte          | Svelte             |          5 |          0 |          1 |          6 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\headers\HighlightTitle.svelte                 | Svelte             |         26 |          0 |          6 |         32 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\headers\LineHeading.svelte                    | Svelte             |         11 |          0 |          2 |         13 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\headers\SubHeading.svelte                     | Svelte             |          3 |          0 |          1 |          4 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\hero.svelte                                   | Svelte             |         88 |          0 |         12 |        100 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\hero\Hero.svelte                              | Svelte             |          1 |          0 |          0 |          1 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\hero\HeroCTABox.svelte                        | Svelte             |          1 |          0 |          0 |          1 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\hero\HeroDefs.ts                              | TypeScript         |         52 |          0 |          7 |         59 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\hero\HeroImage.svelte                         | Svelte             |         12 |          0 |          3 |         15 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\hero\HeroImageCarousel.svelte                 | Svelte             |         29 |          1 |          5 |         35 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\hero\HeroScroller.svelte                      | Svelte             |         66 |          0 |          5 |         71 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\hero\HeroText.svelte                          | Svelte             |          1 |          0 |          0 |          1 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\hero\HeroTitle.svelte                         | Svelte             |         34 |          0 |          3 |         37 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\hero\Pip.svelte                               | Svelte             |         19 |          0 |          5 |         24 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\hero\PipBox.svelte                            | Svelte             |         10 |          0 |          3 |         13 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\homepage\ApplicationProcess.svelte            | Svelte             |         17 |          0 |          3 |         20 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\media-wrappers\LogoWrapper.svelte             | Svelte             |         10 |          0 |          2 |         12 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\navbar\LinkDefs.ts                            | TypeScript         |        131 |          0 |          6 |        137 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\navbar\NavButton.svelte                       | Svelte             |         64 |          0 |          6 |         70 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\navbar\NavTypes.svelte                        | Svelte             |         12 |          0 |          3 |         15 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\navbar\Navbar.svelte                          | Svelte             |         99 |          0 |         14 |        113 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\navbar\mobile\Hamburger.svelte                | Svelte             |        110 |          0 |          8 |        118 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\navbar\mobile\HamburgerLink.svelte            | Svelte             |         25 |          0 |          5 |         30 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\news\Article.svelte                           | Svelte             |         32 |          0 |          5 |         37 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\news\Tag.svelte                               | Svelte             |         36 |          0 |          6 |         42 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\news\TagBox.svelte                            | Svelte             |         46 |          0 |         14 |         60 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\news\TagDefs.ts                               | TypeScript         |         38 |          0 |          9 |         47 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\news\TagSelector.svelte                       | Svelte             |         32 |          0 |          6 |         38 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\news\TipTap.svelte                            | Svelte             |         88 |          0 |         19 |        107 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\plan\PlanContents.svelte                      | Svelte             |         20 |          0 |          1 |         21 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\plan\UserDisplay.svelte                       | Svelte             |         28 |          0 |          2 |         30 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\social-components\MobileIcon.svelte           | Svelte             |          0 |          0 |          1 |          1 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\social-components\social.svelte               | Svelte             |         25 |          0 |          3 |         28 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\social-components\socialIcon.svelte           | Svelte             |         44 |          0 |          4 |         48 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\store\applicationForm.ts                      | TypeScript         |         42 |          0 |         11 |         53 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\store\formUpdates.ts                          | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\store\personalSubform.ts                      | TypeScript         |         23 |          0 |          2 |         25 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\store\scheduleSubform.ts                      | TypeScript         |         35 |          0 |          3 |         38 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\store\schoolSubform.ts                        | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\store\sessionStorage.js                       | JavaScript         |          9 |          1 |          3 |         13 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\store\windowData.ts                           | TypeScript         |          3 |          0 |          2 |          5 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\svg\number.svelte                             | Svelte             |         10 |          0 |          1 |         11 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\tables\LeftColumnTitleTable.svelte            | Svelte             |         16 |          0 |          5 |         21 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\tables\LessonSchedule.svelte                  | Svelte             |         23 |          0 |          2 |         25 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\tables\TableContent.svelte                    | Svelte             |         41 |          0 |          5 |         46 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\tables\TableDefs.ts                           | TypeScript         |        264 |          0 |         17 |        281 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\tables\TableWrapper.svelte                    | Svelte             |         42 |          0 |          4 |         46 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\testimonials\Profile.svelte                   | Svelte             |         32 |          0 |          2 |         34 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\testimonials\Quote.svelte                     | Svelte             |         30 |          0 |          3 |         33 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\testimonials\Testimonial.svelte               | Svelte             |         90 |          0 |          9 |         99 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\testimonials\TestimonialData.ts               | TypeScript         |        103 |          0 |          9 |        112 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\transitions\PageTransition.svelte             | Svelte             |         17 |          0 |          4 |         21 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\tweens\buildTween.js                          | JavaScript         |         12 |          0 |          5 |         17 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\tweens\buildTween.ts                          | TypeScript         |         12 |          0 |          4 |         16 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\wrappers\SectionWrapper.svelte                | Svelte             |         22 |          0 |          4 |         26 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\wrappers\TextWrapper.svelte                   | Svelte             |          5 |          0 |          2 |          7 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\wrappers\flex-row-wrapper.svelte              | Svelte             |          0 |          0 |          1 |          1 |
| c:\Users\justi\Desktop\toyo\toyo\src\lib\wrappers\media-wrapper.svelte                 | Svelte             |         27 |          0 |          5 |         32 |
| c:\Users\justi\Desktop\toyo\toyo\src\routes\(app)\+layout.js                           | JavaScript         |          7 |          0 |          3 |         10 |
| c:\Users\justi\Desktop\toyo\toyo\src\routes\(app)\+layout@.svelte                      | Svelte             |         44 |          0 |          9 |         53 |
| c:\Users\justi\Desktop\toyo\toyo\src\routes\(app)\+page.js                             | JavaScript         |          5 |          0 |          1 |          6 |
| c:\Users\justi\Desktop\toyo\toyo\src\routes\(app)\+page.svelte                         | Svelte             |        103 |          0 |          6 |        109 |
| c:\Users\justi\Desktop\toyo\toyo\src\routes\(app)\university\about\+page.svelte        | Svelte             |         96 |          0 |         13 |        109 |
| c:\Users\justi\Desktop\toyo\toyo\src\routes\(app)\university\apply\+page.svelte        | Svelte             |         13 |          0 |          3 |         16 |
| c:\Users\justi\Desktop\toyo\toyo\src\routes\(app)\university\details\+page.svelte      | Svelte             |          6 |          0 |          2 |          8 |
| c:\Users\justi\Desktop\toyo\toyo\src\routes\(app)\university\faq\+page.svelte          | Svelte             |         24 |          0 |          3 |         27 |
| c:\Users\justi\Desktop\toyo\toyo\src\routes\(app)\university\news\+page.svelte         | Svelte             |          4 |          0 |          2 |          6 |
| c:\Users\justi\Desktop\toyo\toyo\src\routes\(special)\+layout.js                       | JavaScript         |          7 |          0 |          3 |         10 |
| c:\Users\justi\Desktop\toyo\toyo\src\routes\(special)\+layout@.svelte                  | Svelte             |         41 |          1 |          9 |         51 |
| c:\Users\justi\Desktop\toyo\toyo\src\routes\(special)\special\+page.js                 | JavaScript         |          5 |          0 |          1 |          6 |
| c:\Users\justi\Desktop\toyo\toyo\src\routes\(special)\special\+page.svelte             | Svelte             |         51 |          0 |          6 |         57 |
| c:\Users\justi\Desktop\toyo\toyo\src\routes\(special)\special\public\+page.svelte      | Svelte             |          3 |          0 |          2 |          5 |
| c:\Users\justi\Desktop\toyo\toyo\src\routes\(special)\special\specialfaq\+page.svelte  | Svelte             |         25 |          0 |          4 |         29 |
| c:\Users\justi\Desktop\toyo\toyo\src\routes\(special)\special\specialnews\+page.svelte | Svelte             |          3 |          0 |          2 |          5 |
| c:\Users\justi\Desktop\toyo\toyo\src\routes\(special)\special\students\+page.svelte    | Svelte             |          3 |          0 |          2 |          5 |
| c:\Users\justi\Desktop\toyo\toyo\src\routes\+layout.svelte                             | Svelte             |          1 |          0 |          1 |          2 |
| c:\Users\justi\Desktop\toyo\toyo\svelte.config.js                                      | JavaScript         |         14 |          1 |          4 |         19 |
| c:\Users\justi\Desktop\toyo\toyo\tailwind.config.cjs                                   | JavaScript         |         19 |          1 |          1 |         21 |
| c:\Users\justi\Desktop\toyo\toyo\tsconfig.json                                         | JSON with Comments |         15 |          4 |          2 |         21 |
| c:\Users\justi\Desktop\toyo\toyo\vite.config.js                                        | JavaScript         |          9 |          2 |          4 |         15 |
| Total                                                                                  |                    |     13,898 |         36 |        909 |     14,843 |
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
